City,Country,Date,Latitude,Longitude,Temp,Humidity,Max Temp,Cloudiness,Wind Speed
Rocha,UY,1579738706,-34.48,-54.33,66.13,84,66.13,0,8.75
Bluff,NZ,1579738911,-46.6,168.33,64.0,74,64.0,92,15.01
Lebanon,US,1579738770,36.21,-86.29,39.74,51,42.8,75,4.7
Cidreira,BR,1579738757,-30.18,-50.21,71.92,81,71.92,100,14.61
Tuktoyaktuk,CA,1579738911,69.45,-133.04,-13.0,75,-13.0,90,6.93
San Cristobal,VE,1579738915,7.77,-72.22,77.0,88,77.0,40,2.24
Kodiak,US,1579738915,57.79,-152.41,28.4,50,28.4,20,10.29
Constantine,DZ,1579738975,36.37,6.61,51.8,50,51.8,31,11.41
Jardim,BR,1579738777,-21.48,-56.14,74.12,96,74.12,100,4.0
Fukuecho,JP,1579738975,32.69,128.84,59.81,100,60.8,20,3.36
Reshetylivka,UA,1579738975,49.56,34.08,32.59,79,32.59,94,17.56
Nikolskoye,RU,1579738423,59.7,30.79,27.61,54,28.4,20,22.37
Tiznit,MA,1579738975,29.58,-9.5,47.52,80,47.52,22,3.44
Airai,TL,1579738975,-8.93,125.41,76.15,65,76.15,32,1.99
Draguignan,FR,1579738975,43.53,6.47,51.85,71,57.2,83,12.75
Cacoal,BR,1579738975,-11.44,-61.45,76.33,93,76.33,98,2.51
Mangan,IN,1579738975,27.52,88.53,31.62,46,31.62,40,4.0
Pittsburg,US,1579738678,38.03,-121.88,59.36,55,63.0,1,3.83
Maningrida,AU,1579738976,-12.07,134.27,84.2,79,84.2,94,21.36
Gambela,ET,1579738976,8.25,34.58,73.65,21,73.65,76,2.35
Tautira,PF,1579738976,-17.73,-149.15,87.48,66,87.8,20,14.99
Torbay,CA,1579738976,47.67,-52.73,21.6,73,23.0,90,10.29
Bago,MM,1579738976,17.34,96.48,68.0,94,68.0,40,4.7
Bethel,US,1579738976,41.37,-73.41,27.23,73,32.0,1,0.81
Katangli,RU,1579738976,51.71,143.23,1.74,93,1.74,94,5.39
Bathsheba,BB,1579738753,13.22,-59.52,77.0,78,77.0,75,16.11
Nanortalik,GL,1579738977,60.14,-45.24,25.63,64,25.63,100,27.56
Tilichiki,RU,1579738977,60.47,166.1,-16.51,85,-16.51,52,7.45
Beringovskiy,RU,1579738691,63.05,179.32,-13.32,96,-13.32,2,7.92
Bruges,BE,1579738977,51.21,3.22,40.66,93,42.01,75,4.7
Sulangan,PH,1579738977,11.14,123.72,78.85,72,78.85,17,10.18
Dodge City,US,1579738977,37.75,-100.02,46.53,65,48.2,1,6.93
Norman Wells,CA,1579738977,65.28,-126.83,-5.8,70,-5.8,75,3.36
Batagay-Alyta,RU,1579738977,67.8,130.41,-27.6,99,-27.6,100,1.25
Sayyan,YE,1579738757,15.17,44.32,50.59,85,50.59,5,4.38
Alamosa,US,1579738977,37.47,-105.87,33.44,51,37.4,90,3.36
New Norfolk,AU,1579738977,-42.78,147.06,59.0,77,61.0,75,6.93
Matagami,CA,1579738978,49.75,-77.63,30.2,92,30.2,90,8.05
Jalu,LY,1579738978,29.03,21.55,50.76,62,50.76,0,5.53
Ketchikan,US,1579738978,55.34,-131.65,41.86,86,42.8,90,20.8
Banswara,IN,1579738978,23.55,74.45,57.65,43,57.65,2,9.91
Zhezkazgan,KZ,1579738978,47.8,67.71,25.03,92,25.03,100,27.31
Talnakh,RU,1579738821,69.49,88.4,-4.0,76,-4.0,75,22.37
Shingu,JP,1579738324,33.73,135.98,60.8,93,60.8,75,12.75
Atuona,PF,1579738978,-9.8,-139.03,81.14,73,81.14,17,11.5
Darhan,MN,1579738978,49.49,105.92,-10.46,90,-10.46,0,3.33
Zavodouspenskoye,RU,1579738978,56.86,65.02,24.8,85,24.8,90,11.18
Eureka,US,1579738470,40.8,-124.16,57.58,67,59.0,90,6.93
Dmitriyevka,RU,1579738864,54.75,55.33,19.24,92,19.24,100,9.6
Villa Carlos Paz,AR,1579738821,-31.42,-64.5,76.32,73,82.0,1,5.82
Praia,CV,1579738691,14.92,-23.51,71.6,78,71.6,83,17.22
Hasaki,JP,1579739042,35.73,140.83,39.94,93,41.0,75,2.24
Ribeira Grande,PT,1579739042,38.52,-28.7,53.55,70,53.55,45,9.24
Betare Oya,CM,1579739042,5.6,14.08,66.18,20,66.18,28,4.99
Nemuro,JP,1579738885,43.32,145.57,32.0,71,32.0,20,1.12
Nantucket,US,1579738761,41.28,-70.1,27.0,68,32.0,1,7.23
Pangnirtung,CA,1579738688,66.15,-65.71,-25.6,74,-25.6,40,3.36
Henties Bay,NA,1579739042,-22.12,14.28,66.0,93,66.0,0,1.99
Gomel,BY,1579739042,52.43,30.98,32.0,76,32.0,75,17.9
Celestun,MX,1579739042,20.87,-90.4,71.46,72,71.46,0,23.53
Keetmanshoop,NA,1579739042,-26.58,18.13,69.8,43,69.8,0,9.17
Port Hardy,CA,1579738971,50.7,-127.42,42.8,87,42.8,90,27.51
Lata,PT,1579738949,40.16,-8.33,46.26,93,48.2,75,4.7
Neryungri,RU,1579739043,56.67,124.65,-17.36,99,-17.36,100,5.88
Dikson,RU,1579739043,73.51,80.55,-14.58,94,-14.58,100,14.32
Bilibino,RU,1579738821,68.05,166.44,-39.42,100,-39.42,77,0.83
Mount Gambier,AU,1579739043,-37.83,140.77,60.8,63,60.8,75,21.92
Horsham,GB,1579739043,51.06,-0.33,43.48,100,45.0,75,3.36
Cape Town,ZA,1579738802,-33.93,18.42,66.0,59,66.99,0,6.93
Olinda,BR,1579739043,-8.01,-34.86,84.2,74,84.2,75,5.82
Opuwo,NA,1579739043,-18.06,13.84,71.58,42,71.58,56,3.27
Saint George's,GD,1579738841,12.06,-61.75,78.8,78,78.8,20,9.17
Khatanga,RU,1579739044,71.97,102.5,-33.36,86,-33.36,84,8.93
Hong Kong,HK,1579739021,22.29,114.16,68.97,88,71.01,20,5.82
Saint-Philippe,RE,1579739044,-21.36,55.77,74.91,94,78.8,75,10.29
Pathein,MM,1579739044,16.78,94.73,73.26,73,73.26,54,9.44
Havelock,US,1579738680,34.88,-76.9,41.49,60,44.01,1,16.11
Chifeng,CN,1579738802,42.27,118.96,15.71,63,15.71,0,8.59
Iralaya,HN,1579739044,15.0,-83.23,73.4,100,73.4,75,14.99
Kysyl-Syr,RU,1579739044,63.9,122.76,-23.03,98,-23.03,100,2.44
Mekhe,SN,1579739044,15.11,-16.62,73.4,56,73.4,100,10.29
Bandarbeyla,SO,1579739044,9.49,50.81,77.29,82,77.29,95,16.87
Hun,LY,1579739045,29.13,15.95,50.13,59,50.13,0,6.42
Labuhan,ID,1579738754,-6.88,112.21,79.18,82,79.18,34,2.73
Juegang,CN,1579739045,32.32,121.19,46.99,95,46.99,100,1.01
Marawi,PH,1579739045,8.0,124.29,75.99,94,75.99,98,1.01
Kurumkan,RU,1579739045,54.3,110.3,-21.75,81,-21.75,4,2.95
Deputatsky,RU,1579739045,69.3,139.9,-25.31,92,-25.31,82,3.56
La Ronge,CA,1579738822,55.1,-105.28,17.6,92,17.6,90,5.82
Praia,CV,1579738552,14.92,-23.51,71.6,78,71.6,83,17.22
Yulara,AU,1579738820,-25.24,130.99,80.6,30,80.6,19,17.22
Knysna,ZA,1579739045,-34.04,23.05,59.0,100,59.0,47,3.36
San Rafael,AR,1579739046,-34.62,-68.33,85.78,28,85.78,16,11.3
Vila,PT,1579739046,42.03,-8.16,46.99,76,53.01,100,1.12
Broome,US,1579738754,42.25,-75.83,26.19,54,30.2,1,6.93
Soubre,CI,1579739106,5.79,-6.61,75.02,94,75.02,99,3.42
Cockburn Town,TC,1579738836,21.46,-71.14,73.2,84,73.2,51,26.02
Vila Franca do Campo,PT,1579739106,37.72,-25.43,55.4,82,55.4,75,14.99
Ahipara,NZ,1579739106,-35.17,173.17,65.73,70,65.73,81,7.81
Severo-Kuril'sk,RU,1579738553,50.68,156.12,17.65,85,17.65,99,14.47
Souillac,MU,1579739109,-20.52,57.52,78.87,94,79.0,75,10.29
Makassar,ID,1579738884,-5.14,119.42,82.4,78,82.4,20,4.7
Sekoma,BW,1579739109,-24.4,23.88,76.23,40,76.23,0,8.55
Jacareacanga,BR,1579739030,-6.22,-57.75,75.16,96,75.16,100,2.06
Vardo,NO,1579738894,70.37,31.11,19.4,79,19.4,40,25.28
Kribi,CM,1579739110,2.95,9.92,81.3,84,81.3,63,6.85
Inhambane,MZ,1579738753,-23.86,35.38,76.66,67,76.66,73,8.97
Manaure,CO,1579739110,11.78,-72.44,78.8,78,78.8,97,4.7
Mpongwe,ZM,1579739110,-13.51,28.16,65.07,99,65.07,100,3.6
Kaseda,JP,1579739110,31.42,130.32,60.39,100,62.6,75,3.36
Constitucion,CL,1579738886,-35.33,-72.42,58.01,93,58.01,21,5.99
Victor Harbor,AU,1579738999,-35.57,138.62,64.29,48,66.2,75,28.86
Yokadouma,CM,1579739110,3.52,15.05,65.43,24,65.43,65,3.15
Leningradskiy,RU,1579739110,69.38,178.42,-19.12,93,-19.12,72,4.41
Shache,CN,1579739110,38.42,77.24,20.08,72,20.08,0,2.3
Puerto Ayora,EC,1579738993,-0.74,-90.35,78.44,69,80.6,75,10.29
Tasiilaq,GL,1579739097,65.61,-37.64,19.4,73,19.4,22,35.57
Saldanha,ZA,1579739114,-33.01,17.94,66.2,63,66.2,1,2.24
Batsfjord,NO,1579739114,70.63,29.72,19.4,79,19.4,40,25.28
Zonguldak,TR,1579739114,41.25,31.83,31.24,67,31.24,91,4.05
Rawson,AR,1579738821,-43.3,-65.1,67.42,69,67.42,30,13.33
Nagina,IN,1579739114,29.45,78.45,46.9,86,46.9,0,9.06
Bosaso,SO,1579739114,11.28,49.18,75.72,72,75.72,12,8.3
Katsuura,JP,1579739114,35.13,140.3,44.31,70,45.0,90,5.82
Yar-Sale,RU,1579739114,66.83,70.83,3.67,92,3.67,100,16.04
Ilulissat,GL,1579739114,69.22,-51.1,10.4,78,10.4,100,16.11
Palmer,US,1579738952,42.16,-72.33,24.58,73,28.4,1,3.4
Namatanai,PG,1579739115,-3.67,152.43,84.18,72,84.18,0,8.1
Portland,US,1579738876,45.52,-122.68,48.49,87,53.01,90,10.29
Husavik,IS,1579739115,66.04,-17.34,33.8,50,33.8,75,38.03
Goure,NE,1579739115,13.98,10.27,66.99,19,66.99,19,8.01
Adre,TD,1579739115,13.47,22.2,54.36,23,54.36,14,19.19
Guhagar,IN,1579739115,17.48,73.19,78.33,53,78.33,25,3.91
Arlit,NE,1579739115,18.74,7.39,68.18,13,68.18,43,10.04
Russell,US,1579739115,32.35,-85.2,44.6,52,48.2,1,5.68
Vanimo,PG,1579739115,-2.67,141.3,82.0,77,82.0,56,7.34
Santa Cruz de la Sierra,BO,1579739124,-17.8,-63.17,79.52,88,80.6,75,5.82
Kargasok,RU,1579739124,59.06,80.86,11.98,92,11.98,100,12.73
Pochutla,MX,1579738690,15.74,-96.47,79.41,74,80.6,40,6.93
Marand,IR,1579739125,38.43,45.77,15.8,85,15.8,0,9.17
Vangaindrano,MG,1579739128,-23.35,47.6,68.56,97,68.56,93,3.51
Honningsvag,NO,1579738554,70.98,25.97,24.8,62,24.8,75,26.4
Lavrentiya,RU,1579739188,65.58,-171.0,-9.36,90,-9.36,100,5.46
Belmonte,BR,1579739188,-15.86,-38.88,75.2,94,75.2,75,9.17
Republic of El Salvador,SV,1579739188,13.83,-88.92,79.5,44,80.6,0,2.24
Dunedin,NZ,1579738889,-45.87,170.5,64.0,74,64.0,77,8.01
Termoli,IT,1579739188,41.99,14.99,42.46,85,43.0,0,6.42
Dingle,PH,1579738755,11.0,122.67,74.28,82,74.28,2,12.5
Ayagoz,KZ,1579739121,47.97,80.44,18.09,94,18.09,100,14.32
Otradnoye,RU,1579739188,59.78,30.82,27.63,54,28.4,75,26.84
Castro,BR,1579739189,-24.79,-50.01,58.77,92,58.77,100,8.5
Faanui,PF,1579738755,-16.48,-151.75,82.69,75,82.69,100,13.4
Loiza,PR,1579739189,18.43,-65.88,74.21,83,77.0,75,6.93
Sao Paulo de Olivenca,BR,1579739189,-3.38,-68.87,77.31,89,77.31,95,1.99
Marabu,MY,1579738754,4.41,114.01,75.15,100,75.2,75,2.24
Ust-Kuyga,RU,1579739189,70.02,135.6,-30.98,99,-30.98,99,5.75
Asau,RO,1579738619,46.43,26.4,37.24,64,37.4,90,10.29
Pokhara,NP,1579738954,28.23,83.98,46.49,61,46.49,0,2.17
Port Blair,IN,1579739189,11.67,92.75,80.13,80,80.13,100,11.61
Krasnyy Chikoy,RU,1579739133,50.36,108.75,-16.38,93,-16.38,4,2.48
Santa,PH,1579739189,17.49,120.43,67.46,67,67.46,0,4.88
Vawkavysk,BY,1579739189,53.16,24.45,31.89,81,31.89,11,16.49
Brae,GB,1579739190,60.4,-1.35,47.17,93,48.2,100,29.97
Perth,AU,1579738984,-31.93,115.83,69.37,68,72.0,20,8.05
Orocue,CO,1579739190,4.79,-71.34,84.87,50,84.87,62,5.14
Carutapera,BR,1579739190,-1.2,-46.02,81.84,80,81.84,91,19.64
Balkhash,KZ,1579739190,46.84,74.98,19.22,98,19.22,99,7.61
Athabasca,CA,1579739190,54.72,-113.29,23.32,95,23.32,100,2.71
Fleetwood,GB,1579739190,53.93,-3.01,43.65,100,46.0,90,3.36
Mar del Plata,AR,1579739175,-38.0,-57.56,68.74,94,69.8,75,5.82
Promyshlennovskiy,RU,1579739190,55.48,86.2,17.6,85,17.6,90,11.18
Bundaberg,AU,1579739154,-24.85,152.35,80.64,88,82.99,75,11.41
Cooma,AU,1579739190,-36.23,149.13,82.4,17,82.4,75,31.09
Bisauli,IN,1579739190,28.32,78.93,49.62,75,49.62,0,11.77
Mossamedes,AO,1579739191,-15.2,12.15,74.61,74,74.61,88,11.1
Seoul,KR,1579738375,37.57,126.98,27.93,74,30.2,1,3.36
Almeirim,BR,1579739191,-1.52,-52.58,80.17,71,80.17,99,6.49
Zarate,AR,1579739191,-34.1,-59.03,77.67,83,79.0,0,11.41
Provideniya,RU,1579739140,64.38,-173.3,-4.0,76,-4.0,0,1.66
Salalah,OM,1579739148,17.02,54.09,73.4,60,73.4,75,6.93
Narsaq,GL,1579739134,60.92,-46.05,19.4,67,19.4,99,2.24
Matara,LK,1579739191,5.95,80.54,73.71,89,73.71,43,5.88
Haines Junction,CA,1579739191,60.75,-137.51,8.37,96,8.37,100,2.48
Huarmey,PE,1579738887,-10.07,-78.15,73.26,72,73.26,93,5.35
Sibolga,ID,1579739191,1.74,98.78,70.03,90,70.03,0,4.0
Thinadhoo,MV,1579739175,0.53,72.93,83.84,80,83.84,41,18.37
Sambava,MG,1579738754,-14.27,50.17,74.28,98,74.28,100,1.07
Hithadhoo,MV,1579739140,-0.6,73.08,84.06,80,84.06,26,15.88
Thompson,CA,1579739126,55.74,-97.86,-4.0,83,-4.0,20,2.24
Tingi,TZ,1579739192,-11.3,35.03,66.88,96,66.88,100,2.37
Kulhudhuffushi,MV,1579739192,6.62,73.07,83.79,79,83.79,71,23.15
Kavieng,PG,1579738821,-2.57,150.8,83.23,79,83.23,0,12.24
Barraute,CA,1579739252,48.43,-77.63,30.13,92,30.2,90,10.29
Bahia Honda,CU,1579739252,22.9,-83.16,60.85,59,60.85,40,9.89
Forsytheganj,BY,1579738977,52.63,29.73,32.2,75,32.2,82,14.54
Springbok,ZA,1579739252,-29.66,17.89,53.44,95,53.44,3,2.1
Phan Thiet,VN,1579739196,10.93,108.1,68.27,80,68.27,0,3.74
Aseri,EE,1579739252,59.45,26.87,33.53,68,33.53,35,23.53
Mitsamiouli,KM,1579738689,-11.38,43.28,81.48,80,81.48,96,16.31
Itoman,JP,1579739186,26.12,127.67,68.97,77,69.8,75,5.82
Sao Filipe,CV,1579739256,14.9,-24.5,70.47,79,70.47,50,7.58
Ankpa,NG,1579739256,7.37,7.63,75.15,19,75.15,57,5.61
Broken Hill,AU,1579739256,-31.95,141.43,78.8,29,78.8,87,19.46
Xingyi,CN,1579739256,24.19,102.82,43.61,75,43.61,0,3.09
Illapel,CL,1579739256,-31.63,-71.17,63.25,73,63.25,48,2.48
Touros,BR,1579739256,-5.2,-35.46,80.6,83,80.6,20,9.17
Bengkulu,ID,1579739127,-3.8,102.27,73.26,94,73.26,93,3.47
Acarau,BR,1579738949,-2.89,-40.12,76.95,90,76.95,97,3.62
Kutum,SD,1579739256,14.2,24.67,42.93,39,42.93,0,5.17
College,US,1579739257,64.86,-147.8,-10.21,75,-5.8,40,0.47
Port Elizabeth,ZA,1579739107,-33.92,25.57,62.6,88,62.6,74,8.05
Okhotsk,RU,1579739257,59.38,143.3,-22.0,70,-22.0,0,6.58
Ciudad Lazaro Cardenas,MX,1579739257,17.96,-102.2,80.13,76,80.13,10,7.2
Coquimbo,CL,1579739201,-29.95,-71.34,66.2,77,66.2,73,6.93
Kavaratti,IN,1579739142,10.57,72.64,81.86,77,81.86,29,11.63
Bonthe,SL,1579739257,7.53,-12.51,79.86,84,79.86,98,5.3
Mizdah,LY,1579738755,31.45,12.98,46.38,63,46.38,66,9.64
Saint-Pierre,RE,1579738758,-21.34,55.48,75.51,94,78.8,75,10.29
Zipari,GR,1579739257,36.88,27.2,41.85,76,48.2,0,9.17
Mayumba,GA,1579739257,-3.43,10.66,82.87,78,82.87,100,6.55
Palamos,ES,1579739257,41.85,3.13,55.78,93,57.0,90,4.7
Delta del Tigre,UY,1579739258,-34.76,-56.39,73.67,78,73.99,0,11.41
Kirakira,SB,1579739258,-10.45,161.92,84.67,70,84.67,2,4.03
Juba,SS,1579739258,4.85,31.58,72.95,19,72.95,77,4.41
San Andres,CO,1579738998,12.58,-81.7,80.6,65,80.6,90,16.11
Cravo Norte,CO,1579739258,6.3,-70.2,85.78,48,85.78,1,5.55
Diffa,NE,1579739258,13.32,12.61,64.18,30,64.18,3,12.73
Vao,NC,1579739258,-22.67,167.48,76.95,76,76.95,51,15.39
Tuatapere,NZ,1579738691,-46.13,167.68,64.0,74,64.0,80,15.01
Grand Forks,US,1579739258,47.93,-97.03,18.95,85,24.8,90,9.17
Baijiantan,CN,1579739258,45.63,85.18,8.2,87,8.2,100,0.63
Port Alfred,ZA,1579739127,-33.59,26.89,62.01,97,62.01,80,1.01
Graaff-Reinet,ZA,1579739259,-32.25,24.53,57.99,94,57.99,85,5.01
Mehamn,NO,1579739148,71.04,27.85,24.8,62,24.8,75,26.4
Aksu,CN,1579739157,41.12,80.26,19.67,78,19.67,33,1.83
Kindersley,CA,1579739259,51.47,-109.17,23.0,92,23.0,20,10.29
Romanu,RO,1579739319,45.28,27.73,42.8,35,42.8,75,23.04
Saint George,US,1579739255,37.1,-113.58,52.61,50,55.4,1,5.1
Mitchell,US,1579739040,43.71,-98.03,34.56,91,35.6,90,5.7
Gurlan,UZ,1579739319,41.84,60.39,29.34,74,30.2,0,13.87
Mayo,US,1579738753,38.89,-76.51,29.46,74,33.01,1,0.43
Chapais,CA,1579738887,49.78,-74.85,28.4,92,28.4,90,14.99
Grande Riviere du Nord,HT,1579739319,19.58,-72.18,68.58,93,68.58,20,1.43
Hobyo,SO,1579739319,5.35,48.53,78.1,78,78.1,81,17.94
Fort Nelson,CA,1579739319,58.81,-122.7,8.6,84,8.6,40,1.41
Anadyr,RU,1579739320,64.75,177.48,-23.44,67,-23.01,78,8.95
Eyl,SO,1579739160,7.98,49.82,78.01,83,78.01,99,21.47
Lorengau,PG,1579739191,-2.02,147.27,82.96,77,82.96,0,12.48
Hofn,IS,1579738820,64.25,-15.21,39.56,68,39.56,36,47.0
Corinth,GR,1579739320,37.94,22.96,39.13,62,48.0,20,9.89
Harper,LR,1579739320,4.38,-7.72,77.22,89,77.22,41,1.45
Blackburn,GB,1579739320,53.75,-2.48,43.27,100,46.0,90,3.36
Iquitos,PE,1579739297,-3.75,-73.25,82.4,83,82.4,50,2.64
Ilo,PE,1579739320,-17.64,-71.34,73.26,84,73.26,52,3.06
Pacific Grove,US,1579739320,36.62,-121.92,58.5,72,63.0,1,4.7
Esperance,AU,1579739320,-33.87,121.9,64.4,59,64.4,40,18.34
Borba,BR,1579739320,-4.39,-59.59,77.25,92,77.25,72,1.23
Lagunas,PE,1579739321,-5.23,-75.68,82.11,73,82.11,53,2.51
Laguna,US,1579739177,38.42,-121.42,57.94,63,62.01,40,6.93
Borazjan,IR,1579739321,29.27,51.22,59.0,77,59.0,90,4.7
Manokwari,ID,1579739321,-0.87,134.08,79.16,68,79.16,88,4.21
Faya,SA,1579739197,18.39,42.45,52.68,87,53.6,75,9.17
Colares,PT,1579739321,38.8,-9.45,46.92,100,48.99,40,8.05
Canutama,BR,1579739321,-6.53,-64.38,77.77,84,77.77,94,2.01
Nouakchott,MR,1579739042,18.09,-15.98,64.4,72,64.4,100,5.82
Indramayu,ID,1579739321,-6.33,108.32,80.6,79,80.6,10,5.53
Ursulo Galvan,MX,1579739321,22.73,-98.3,71.76,88,75.0,40,13.87
Great Falls,US,1579739167,47.5,-111.3,37.36,34,39.2,1,14.99
Marevo,RU,1579739321,57.31,32.08,26.92,64,26.92,100,12.93
Yumen,CN,1579739205,40.28,97.2,13.73,63,13.73,48,2.15
Ozernovskiy,RU,1579739322,51.5,156.52,18.64,79,18.64,95,6.46
